time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.001,0.138165,4.92169,0,0,0.65798,4.06031,
0.002,0.138164,4.92169,4.36692e-07,0,0.657968,4.06031,
0.003,0.138161,4.92169,1.74695e-06,0,0.657931,4.06031,
0.004,0.138156,4.92168,3.93135e-06,0,0.657869,4.06031,
0.005,0.138149,4.92167,6.99086e-06,0,0.657784,4.06031,
0.006,0.138139,4.92166,1.09269e-05,0,0.657673,4.06032,
0.007,0.138128,4.92165,1.57411e-05,0,0.657538,4.06032,
0.008,0.138115,4.92164,2.14359e-05,0,0.657379,4.06033,
0.009,0.1381,4.92162,2.80137e-05,0,0.657195,4.06034,
0.01,0.138082,4.9216,3.54775e-05,0,0.656987,4.06035,
0.011,0.138063,4.92158,4.38307e-05,0,0.656754,4.06035,
0.012,0.138041,4.92156,5.30772e-05,0,0.656496,4.06036,
0.013,0.138018,4.92153,6.32212e-05,0,0.656215,4.06038,
0.014,0.137992,4.9215,7.42671e-05,0,0.655908,4.06039,
0.015,0.137965,4.92147,8.62202e-05,0,0.655578,4.0604,
0.016,0.137935,4.92144,9.90856e-05,0,0.655223,4.06041,
0.017,0.137904,4.9214,0.000112869,0,0.654844,4.06043,
0.018,0.13787,4.92137,0.000127577,0,0.65444,4.06045,
0.019,0.137834,4.92133,0.000143217,0,0.654012,4.06046,
0.02,0.137797,4.92129,0.000159794,0,0.65356,4.06048,
0.021,0.137757,4.92124,0.000177317,0,0.653083,4.0605,
0.022,0.137715,4.9212,0.000195793,0,0.652583,4.06052,
0.023,0.137671,4.92115,0.00021523,0,0.652058,4.06054,
0.024,0.137625,4.9211,0.000235637,0,0.651509,4.06056,
0.025,0.137578,4.92104,0.000257024,0,0.650936,4.06059,
0.026,0.137528,4.92099,0.000279399,0,0.650338,4.06061,
0.027,0.137476,4.92093,0.000302771,0,0.649717,4.06064,
0.028,0.137422,4.92087,0.000327153,0,0.649072,4.06067,
0.029,0.137366,4.92081,0.000352552,0,0.648403,4.06069,
0.03,0.137308,4.92074,0.000378982,0,0.64771,4.06072,
0.031,0.137249,4.92068,0.000406453,0,0.646993,4.06076,
0.032,0.137187,4.92061,0.000434976,0,0.646252,4.06079,
0.033,0.137123,4.92054,0.000464564,0,0.645488,4.06082,
0.034,0.137057,4.92046,0.00049523,0,0.6447,4.06086,
0.035,0.136989,4.92039,0.000526985,0,0.643888,4.06089,
0.036,0.136919,4.92031,0.000559844,0,0.643052,4.06093,
0.037,0.136848,4.92023,0.00059382,0,0.642193,4.06097,
0.038,0.136774,4.92015,0.000628926,0,0.641311,4.06101,
0.039,0.136698,4.92006,0.000665178,0,0.640405,4.06105,
0.04,0.136621,4.91998,0.00070259,0,0.639476,4.06109,
0.041,0.136541,4.91989,0.000741177,0,0.638524,4.06114,
0.042,0.136459,4.9198,0.000780954,0,0.637548,4.06118,
0.043,0.136376,4.9197,0.000821938,0,0.636549,4.06123,
0.044,0.13629,4.91961,0.000864143,0,0.635527,4.06128,
0.045,0.136203,4.91951,0.000907588,0,0.634482,4.06133,
0.046,0.136114,4.91941,0.000952289,0,0.633414,4.06138,
0.047,0.136022,4.9193,0.000998263,0,0.632324,4.06143,
0.048,0.135929,4.9192,0.00104553,0,0.63121,4.06149,
0.049,0.135834,4.91909,0.0010941,0,0.630074,4.06154,
0.05,0.135737,4.91898,0.001144,0,0.628915,4.0616,
0.051,0.135638,4.91887,0.00119525,0,0.627733,4.06166,
0.052,0.135537,4.91876,0.00124786,0,0.626529,4.06172,
0.053,0.135434,4.91864,0.00130185,0,0.625303,4.06179,
0.054,0.13533,4.91852,0.00135725,0,0.624054,4.06185,
0.055,0.135223,4.9184,0.00141407,0,0.622783,4.06192,
0.056,0.135115,4.91828,0.00147234,0,0.62149,4.06199,
0.057,0.135004,4.91815,0.00153207,0,0.620175,4.06206,
0.058,0.134892,4.91802,0.00159329,0,0.618838,4.06213,
0.059,0.134778,4.91789,0.00165601,0,0.617479,4.06221,
0.06,0.134662,4.91776,0.00172026,0,0.616099,4.06229,
0.061,0.134544,4.91763,0.00178606,0,0.614696,4.06237,
0.062,0.134425,4.91749,0.00185344,0,0.613272,4.06245,
0.063,0.134303,4.91735,0.00192241,0,0.611827,4.06253,
0.064,0.13418,4.91721,0.001993,0,0.61036,4.06261,
0.065,0.134055,4.91707,0.00206523,0,0.608872,4.0627,
0.066,0.133928,4.91692,0.00213913,0,0.607363,4.06279,
0.067,0.133799,4.91677,0.00221471,0,0.605833,4.06288,
0.068,0.133669,4.91662,0.00229201,0,0.604281,4.06298,
0.069,0.133536,4.91647,0.00237104,0,0.602709,4.06307,
0.07,0.133402,4.91631,0.00245184,0,0.601116,4.06317,
0.071,0.133266,4.91615,0.00253443,0,0.599503,4.06327,
0.072,0.133128,4.91599,0.00261882,0,0.597869,4.06338,
0.073,0.132989,4.91583,0.00270505,0,0.596215,4.06348,
0.074,0.132848,4.91567,0.00279315,0,0.59454,4.06359,
0.075,0.132705,4.9155,0.00288314,0,0.592845,4.0637,
0.076,0.13256,4.91533,0.00297504,0,0.59113,4.06381,
0.077,0.132414,4.91516,0.00306888,0,0.589396,4.06393,
0.078,0.132265,4.91499,0.00316469,0,0.587641,4.06405,
0.079,0.132116,4.91481,0.0032625,0,0.585867,4.06417,
0.08,0.131964,4.91463,0.00336233,0,0.584073,4.06429,
0.081,0.131811,4.91445,0.00346421,0,0.58226,4.06442,
0.082,0.131656,4.91427,0.00356817,0,0.580427,4.06455,
0.083,0.131499,4.91408,0.00367424,0,0.578576,4.06468,
0.084,0.13134,4.9139,0.00378244,0,0.576705,4.06481,
0.085,0.13118,4.91371,0.0038928,0,0.574816,4.06495,
0.086,0.131019,4.91351,0.00400536,0,0.572907,4.06509,
0.087,0.130855,4.91332,0.00412013,0,0.57098,4.06523,
0.088,0.13069,4.91312,0.00423715,0,0.569035,4.06538,
0.089,0.130524,4.91292,0.00435645,0,0.567071,4.06553,
0.09,0.130355,4.91272,0.00447806,0,0.565089,4.06568,
0.091,0.130185,4.91252,0.004602,0,0.563089,4.06583,
0.092,0.130014,4.91231,0.00472832,0,0.561071,4.06599,
0.093,0.129841,4.9121,0.00485702,0,0.559035,4.06615,
0.094,0.129666,4.91189,0.00498816,0,0.556982,4.06632,
0.095,0.12949,4.91168,0.00512175,0,0.554911,4.06648,
0.096,0.129312,4.91146,0.00525782,0,0.552823,4.06665,
0.097,0.129133,4.91125,0.00539642,0,0.550717,4.06683,
0.098,0.128952,4.91103,0.00553756,0,0.548595,4.067,
0.099,0.128769,4.9108,0.00568128,0,0.546455,4.06718,
0.1,0.128585,4.91058,0.00582761,0,0.544299,4.06736,
0.101,0.1284,4.91035,0.00597658,0,0.542127,4.06755,
0.102,0.128213,4.91012,0.00612822,0,0.539937,4.06774,
0.103,0.128024,4.90989,0.00628257,0,0.537732,4.06793,
0.104,0.127834,4.90966,0.00643965,0,0.535511,4.06813,
0.105,0.127642,4.90942,0.00659949,0,0.533273,4.06833,
0.106,0.127449,4.90918,0.00676213,0,0.53102,4.06853,
0.107,0.127255,4.90894,0.00692759,0,0.528751,4.06874,
0.108,0.127059,4.9087,0.00709592,0,0.526467,4.06895,
0.109,0.126862,4.90845,0.00726714,0,0.524167,4.06916,
0.11,0.126663,4.9082,0.00744128,0,0.521852,4.06938,
0.111,0.126463,4.90795,0.00761837,0,0.519523,4.0696,
0.112,0.126261,4.9077,0.00779845,0,0.517178,4.06982,
0.113,0.126058,4.90744,0.00798155,0,0.514819,4.07005,
0.114,0.125853,4.90718,0.0081677,0,0.512445,4.07028,
0.115,0.125648,4.90692,0.00835692,0,0.510058,4.07051,
0.116,0.12544,4.90666,0.00854926,0,0.507656,4.07075,
0.117,0.125232,4.9064,0.00874475,0,0.50524,4.07099,
0.118,0.125022,4.90613,0.00894341,0,0.50281,4.07124,
0.119,0.124811,4.90586,0.00914528,0,0.500367,4.07148,
0.12,0.124598,4.90559,0.00935039,0,0.49791,4.07174,
0.121,0.124384,4.90531,0.00955877,0,0.49544,4.07199,
0.122,0.124169,4.90504,0.00977045,0,0.492957,4.07225,
0.123,0.123953,4.90476,0.00998547,0,0.490461,4.07252,
0.124,0.123735,4.90447,0.0102038,0,0.487952,4.07278,
0.125,0.123516,4.90419,0.0104256,0,0.485431,4.07305,
0.126,0.123296,4.9039,0.0106508,0,0.482897,4.07333,
0.127,0.123074,4.90361,0.0108795,0,0.480352,4.07361,
0.128,0.122852,4.90332,0.0111117,0,0.477794,4.07389,
0.129,0.122628,4.90303,0.0113473,0,0.475225,4.07417,
0.13,0.122403,4.90273,0.0115866,0,0.472643,4.07446,
0.131,0.122176,4.90243,0.0118294,0,0.470051,4.07476,
0.132,0.121949,4.90213,0.0120758,0,0.467447,4.07505,
0.133,0.12172,4.90183,0.0123259,0,0.464832,4.07535,
0.134,0.12149,4.90152,0.0125796,0,0.462207,4.07566,
0.135,0.121259,4.90122,0.0128371,0,0.45957,4.07597,
0.136,0.121027,4.9009,0.0130982,0,0.456923,4.07628,
